Cage,Temperature,Richness,Composition,gsm1,AOP2,Col,AOP2.gsoh,Pot,Biomass_g,NumberPlants
58,23 C,2,Col_AOP2.gsoh,0,0,1,1,17,0.35,4
58,23 C,2,Col_AOP2.gsoh,0,0,1,1,18,0.364,4
14,20 C,1,Col,0,0,1,0,17,0.838,4
14,20 C,1,Col,0,0,1,0,18,0.78,4
26,20 C,1,Col,0,0,1,0,17,1.006,4
26,20 C,1,Col,0,0,1,0,18,1.077,4
22,20 C,1,AOP2.gsoh,0,0,0,1,17,0.341,4
56,23 C,1,AOP2.gsoh,0,0,0,1,17,0.135,3
56,23 C,1,AOP2.gsoh,0,0,0,1,18,0.209,4
41,23 C,2,Col_AOP2,0,1,1,0,18,0.211,4
41,23 C,2,Col_AOP2,0,1,1,0,17,0.284,4
8,20 C,2,Col_AOP2.gsoh,0,0,1,1,17,0.549,4
43,23 C,4,Poly,1,1,1,1,18,0.123,4
43,23 C,4,Poly,1,1,1,1,17,0.185,4
44,23 C,1,AOP2,0,1,0,0,18,0.182,4
44,23 C,1,AOP2,0,1,0,0,17,0.118,4
50,23 C,2,Col_AOP2,0,1,1,0,17,0.415,4
50,23 C,2,Col_AOP2,0,1,1,0,18,0.149,3
11,20 C,2,gsm1_AOP2,1,1,0,0,18,0.394,4
55,23 C,2,Col_AOP2.gsoh,0,0,1,1,17,0.328,4
55,23 C,2,Col_AOP2.gsoh,0,0,1,1,18,0.313,4
5,20 C,1,gsm1,1,0,0,0,17,0.402,4
5,20 C,1,gsm1,1,0,0,0,18,0.528,4
57,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,18,0.198,4
57,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,17,0.232,4
52,23 C,1,AOP2,0,1,0,0,17,0.195,4
52,23 C,1,AOP2,0,1,0,0,18,0.154,4
42,23 C,2,Col_AOP2,0,1,1,0,17,0.232,3
42,23 C,2,Col_AOP2,0,1,1,0,18,0.279,4
46,23 C,4,Poly,1,1,1,1,17,0.217,4
46,23 C,4,Poly,1,1,1,1,18,0.204,4
12,20 C,4,Poly,1,1,1,1,18,0.612,4
12,20 C,4,Poly,1,1,1,1,17,0.606,4
27,20 C,2,Col_AOP2,0,1,1,0,18,0.61,4
27,20 C,2,Col_AOP2,0,1,1,0,17,0.646,4
49,23 C,2,Col_gsm1,1,0,1,0,17,0.407,4
49,23 C,2,Col_gsm1,1,0,1,0,18,0.235,3
37,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,18,0.269,4
37,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,17,0.211,4
13,20 C,4,Poly,1,1,1,1,18,0.462,4
13,20 C,4,Poly,1,1,1,1,17,0.446,4
36,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,17,0.363,4
36,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,18,0.29,4
7,20 C,4,Poly,1,1,1,1,18,0.338,4
7,20 C,4,Poly,1,1,1,1,17,0.407,4
10,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,18,0.389,4
10,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,17,0.39,4
28,20 C,2,Col_AOP2.gsoh,0,0,1,1,18,0.512,4
28,20 C,2,Col_AOP2.gsoh,0,0,1,1,17,0.516,4
21,20 C,2,Col_AOP2,0,1,1,0,18,0.354,4
21,20 C,2,Col_AOP2,0,1,1,0,17,0.35,4
30,20 C,2,Col_gsm1,1,0,1,0,17,0.643,4
30,20 C,2,Col_gsm1,1,0,1,0,18,0.79,4
54,23 C,1,AOP2.gsoh,0,0,0,1,18,0.144,4
54,23 C,1,AOP2.gsoh,0,0,0,1,17,0.198,2
40,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,17,0.306,4
40,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,18,0.361,4
20,20 C,2,gsm1_AOP2,1,1,0,0,17,0.492,4
20,20 C,2,gsm1_AOP2,1,1,0,0,18,0.505,4
45,23 C,2,Col_gsm1,1,0,1,0,17,0.376,4
45,23 C,2,Col_gsm1,1,0,1,0,18,0.305,4
60,23 C,2,gsm1_AOP2,1,1,0,0,17,0.168,4
60,23 C,2,gsm1_AOP2,1,1,0,0,18,0.182,4
25,20 C,1,AOP2,0,1,0,0,18,0.391,4
25,20 C,1,AOP2,0,1,0,0,17,0.271,4
38,23 C,4,Poly,1,1,1,1,17,0.33,4
38,23 C,4,Poly,1,1,1,1,18,0.235,4
18,20 C,2,Col_AOP2.gsoh,0,0,1,1,18,0.56,4
18,20 C,2,Col_AOP2.gsoh,0,0,1,1,17,0.54,4
51,23 C,1,gsm1,1,0,0,0,18,0.309,4
51,23 C,1,gsm1,1,0,0,0,17,0.336,4
33,23 C,1,Col,0,0,1,0,17,0.312,4
33,23 C,1,Col,0,0,1,0,18,0.302,4
15,20 C,1,AOP2.gsoh,0,0,0,1,18,0.457,4
15,20 C,1,AOP2.gsoh,0,0,0,1,17,0.364,4
23,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,18,0.244,4
23,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,17,0.209,4
2,20 C,4,Poly,1,1,1,1,18,0.469,4
2,20 C,4,Poly,1,1,1,1,17,0.545,4
9,20 C,2,Col_gsm1,1,0,1,0,17,0.555,4
9,20 C,2,Col_gsm1,1,0,1,0,18,0.772,4
24,20 C,1,gsm1,1,0,0,0,17,0.681,4
24,20 C,1,gsm1,1,0,0,0,18,0.588,4
19,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,18,0.675,4
19,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,17,0.683,4
17,20 C,2,gsm1_AOP2,1,1,0,0,17,0.466,4
17,20 C,2,gsm1_AOP2,1,1,0,0,18,0.429,4
39,23 C,1,gsm1,1,0,0,0,17,0.452,4
39,23 C,1,gsm1,1,0,0,0,18,0.313,4
48,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,18,0.26,4
48,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,17,0.161,4
31,23 C,2,gsm1_AOP2,1,1,0,0,17,0.277,4
31,23 C,2,gsm1_AOP2,1,1,0,0,18,0.216,4
4,20 C,1,AOP2,0,1,0,0,17,0.462,4
4,20 C,1,AOP2,0,1,0,0,18,0.592,4
53,23 C,4,Poly,1,1,1,1,17,0.316,4
47,23 C,2,gsm1_AOP2,1,1,0,0,17,0.288,4
47,23 C,2,gsm1_AOP2,1,1,0,0,18,0.239,4
6,20 C,2,Col_AOP2,0,1,1,0,17,0.526,4
6,20 C,2,Col_AOP2,0,1,1,0,18,0.5,4
35,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,18,0.219,4
35,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,17,0.139,4
34,23 C,2,Col_AOP2.gsoh,0,0,1,1,17,0.292,4
34,23 C,2,Col_AOP2.gsoh,0,0,1,1,18,0.216,4
32,23 C,1,Col,0,0,1,0,17,0.213,3
32,23 C,1,Col,0,0,1,0,18,0.283,4
29,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,17,0.662,4
29,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,18,0.52,4
59,23 C,2,Col_gsm1,1,0,1,0,18,0.417,4
59,23 C,2,Col_gsm1,1,0,1,0,17,0.373,4
3,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,17,0.498,4
3,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,18,0.595,4
1,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,17,0.288,4
1,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,18,0.345,4
16,20 C,2,Col_gsm1,1,0,1,0,18,0.548,4
16,20 C,2,Col_gsm1,1,0,1,0,17,0.553,4
